Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Digitalization,Data,EnergyHawk,"Using satellite imagery, EnergyHawk’s software scours for the largest and most energy intensive facilities in North America. Then, using industry specific PowerTrends, Rooftop AI, and automated analysis of each facility and local characteristics, EnergyHawk can provide an Energy Assessment for over 1,000,000 facilities.",,,,@EnergyHawk,,English,2018,,,USD,,,,,,,,,,,,
Other,Venture Studio,Engie Factory,Corporate venture arm creating and investing in climate and energy startups,"ClimateTech, Venture Studio",Utility,engiefactory.com,@EngieFactory,France,Spanish,2018,Corporate Fund,,USD,,,,,,,,,,,,
Other,Energy Optimization,eQuilibrium (eQTech),Energy intelligence platform for load balancing and efficiency in buildings,"Smart Grid, Energy Efficiency",,eqtech.io,,Germany,English,2018,Private,,USD,,,,,,,,,,,,
Digital & AI,Battery Chemistry,Fluence Energy,Develops large-scale lithium-ion battery systems and grid software,"Energy Storage, Grid Software",Supplier,fluenceenergy.com,@FluenceEnergy,United States of America,English,2018,Public (NASDAQ: FLNC),$1.2B,USD,1200000000,2021,,,,,,,,,,
Electrification,Aviation,Flypka,Pyka is building the future of autonomous electric airplanes.,,,https://flypyka.com/,,,English,2018,,,USD,,,,,,,,,,,,
Other,Battery Manufacturing,Freyr,Builds sustainable battery gigafactories in Norway for EV and grid applications,"Battery Manufacturing, EV Storage",Supplier,freyrbattery.com,@FreyrBattery,Norway,English,2018,Public (NYSE: FREY),$850M,USD,850000000,2021,,,,,,,,,,
Clean Energy,Renewable Forecasting,Greenlytics,AI-based forecasting platform for wind and solar energy production,"AI, Energy Forecasting",,greenlytics.io,,Sweden,English,2018,Private,,USD,,,,,,,,,,,,
Digitalization,Data,IGEN,monitoring decentralized PV system and online management of data collection and business process,,,http://www.igen-tech.com/,,China,Chinese,2018,,,USD,,,,,,,,,,,,
Digitalization,AI,JoS Quantum,"develops cloud-based software solutions for energy asset management. The quantum-enabled algorithms solve complex issues for the energy sector involving risk analysis, portfolio optimization, and machine learning (ML)-powered enhancements.",Cloud based asset management,,https://jos-quantum.de/,@JoSQUANTUM,Germany,English,2018,,,USD,,,,,,,,,,,,
Other,Regenerative Agriculture,KULA Bio,Develops microbial solutions to boost soil health and replace synthetic fertilizers,"Biofertilizers, Soil Carbon",,kulabio.com,@kulabio,United States of America,English,2018,Private,$50M,USD,50000000,,,,,,,,,,,
Digitalization,Blockchain,Lition,"Blockchain based peer2peer energy trading solution. By bypassing unnecessary middle men, Lition’s Energy Exchange saves customers an average of 20% on their utility bills while simultaneously increasing power plant revenue by up to 30%.",Remove of intermediaries,,https://twitter.com/lition_block?lang=es,@lition_energy,,English,2018,,,USD,,,,,,,,,,,,
Digitalization,Data,MyEnergyMap,"Energy meters and software that reduces energy consumption and associated costs by up to 20%. Through continuous monitoring and analysis of consumption, it generates periodic reports, notices and employee awareness, without any additional investment.",,,https://www.myenergymap.es/,,Spain,Spanish,2018,,,USD,,,,,,,,,,,,
Electrification,Fast charging,Neo Charge,Empowering the people with cleaner and easier electrification solutions. Big renewable energy fans.,,,getneocharge.com,@RealNeocharge,United States of America,English,2018,,,USD,,,,,,,,,,,,
Other,Smart Charging,NeoCharge,Produces home EV charging adapters and load management devices,"EV Charging, Home Energy",,getneocharge.com,@Neo_Charge,United States of America,English,2018,Private,$2.5M,USD,2500000,,,,,,,,,,,
Other,Green Hydrogen,NextChem (Maire Tecnimont),"Green chemistry arm of Maire Tecnimont, focusing on hydrogen and circular tech","Green Chemistry, Hydrogen, Plastics",,nextchem.it,@NextChem_,Italy,English,2018,Corporate Unit,€200M+,USD,225000000,,,,,,,,,,,
Decarbonization,Earth minerals,Nth Cycle,Nth Cycle has developed a recycling technology that utilizes carbon filters for enhanced separation and recovery of rare earth metals from e-waste streams for reuse in the clean energy sector.,,,http://nthcycle.com/,@NthCycle,United States of America,English,2018,,,USD,,,,,,,,,,,,
Electrification,EV-storage,Octillion Sino EV,Largest batteries provider for EV in China,,,,,China,Chinese,2018,,,USD,,,,,,,,,,,,
Digitalization,AI,Pachama,"Restore nature. Remove carbon. Harnessing AI, satellite data and carbon markets to drive funding to effective reforestation and conservation.",Net zero,,pachama.com,@PachamaInc,Global,English,2018,,,USD,,,,,,,,,,,,
Electrification,EV,PLUGO Inc.,"EV destination charging company.The Company was established in 2018 as a joint venture of two companies: Okawa Screw Manufacturing Co., Ltd. which has continued manufacturing automotive parts since its foundation in 1934, and Seitaro design, inc. which engages in design branding business. In the midst of launches of EVs/PHVs by various manufacturers going forward, the company will strive for wide deployment of the “Destination charging” infrastructure.",,,https://plugo.co.jp/en/company/,,Japan,English,2018,,,USD,,,,,,,,,,,,
Electrification,EV components,Power share,A leading integrated hardware and software solutions provider for electric vehicle (EV) charging in China,,,https://www.powershare.com.cn/,,China,English,2018,,,USD,,,,,,,,,,,,
Electrification,EV,PowerD,startup offers an app that helps schedule sessions for renewable energy charging. Such a solution improves fleet sustainability and lowers costs through the maximization of home charging,,,,,Netherlands,English,2018,,,USD,,,,,,,,,,,,
Decarbonization,Finance,Scope Zero,"Scope Zero created a new employee benefit called a Carbon Savings Account (CSA). Employees use CSA funds for eligible home technology and personal transportation upgrades that reduce their utility bills and fuel consumption. The CSA lowers the upfront costs of upgrades in two ways: employer matches (think health savings account), and referral discounts from partner vendors within the CSA marketplace ecosystem. The CSA-enabled carbon reductions contribute to corporate sustainability goals by lowering work-from-home and commute emissions.",,,https://scope-zero.com/,@ScopeZeroCSA,United States of America,English,2018,,,USD,,,,,,,,,,,,
Clean Energy,Clean Energy Education,SEE Solar (Smart Energy Europe),"Provides education, training, and advisory services on solar and energy transition","Solar Training, Energy Literacy",,seesolar.org,,Europe,English,2018,Nonprofit,,USD,,,,,,,,,,,,
Other,Smart Sensors,Sensa Networks,Develops plug-and-play environmental monitoring and energy optimization systems,"IoT Sensors, Smart Building",,sensa.io,,United States of America,English,2018,Private,,USD,,,,,,,,,,,,
Other,Offshore Wind Turbines,SolarVentus,Develops floating wind turbine foundations for deep water installations,"Floating Wind, Offshore Wind",,solarventus.com,,United States of America,English,2018,Private,,USD,,,,,,,,,,,,
Other,Waste-to-Product,Sustainn (Recircular),Platform connecting companies to industrial waste reuse solutions,"Circular Economy, Waste Matching",,sustainn.co,,Spain,English,2018,Private,,USD,,,,,,,,,,,,
Decarbonization,Comfort,Tepeo,Inventors of the Zero Emission Boiler; tackling the UK’s biggest challenge to achieving Net Zero: rapid & low cost decarbonisation of domestic heating.,Water heating,,tepeo.com,@tepeoheat,United Kingdom,English,2018,Early Stage Venture,"£13,000,000",USD,17290000,,,,,,,,,,,
Decarbonization,Cooling,Transaera,"Transaera is developing a new class of affordable, energy-efficient, sustainable cooling systems",,,https://www.transaera.com/,@transaera,United States of America,English,2018,,"$9,570,528",USD,9570528,,,,,,,,,,,
Other,Cold Chain Tech,Ugandevice (Vacuum Cooling),Builds mobile vacuum cooling systems for rural cold storage in agriculture,"Post-Harvest Cooling, AgTech",,,,Uganda,English,2018,Private,,USD,,,,,,,,,,,,
Digitalization,Data,Uplight,Uplight’s suite of software gives utilities granular data about how customers consume energy in their homes and businesses and offers ways to reduce their base power demand. It also provides a marketplace for consumers to find rebates and deals on energy-efficient appliances and electric vehicles.,,,,@Uplight,United States of America,English,2018,,,USD,,,,,,,,,,,,
Digitalization,Data,Voltmao,"Integrating energy data collection, analysis and diagnosis to improve energy management for indusial enterprises",,,https://www.voltmao.com/,,China,Chinese,2018,,,USD,,,,,,,,,,,,
Other,Energy Management,WeaveGrid,Enables EV-grid integration and smart charging for utilities and grid operators,"EV Integration, Smart Charging",Utility Partner,weavegrid.com,@WeaveGrid,United States of America,English,2018,Private,$50M+,USD,50000000,,,,,,,,,,,
Digitalization,Data,Wegaw,"satellite data, helps companies around the world make the transition to clean energy. At the same time, it makes it easier for companies in the energy world to optimize their renewable energy imbalances, increase their business efficiency and reduce dependence on fossil fuels.",,,,,Spain,Spanish,2018,,,USD,,,,,,,,,,,,
Other,AI for Climate,Zeti,FinTech platform enabling pay-per-use financing of zero-emission vehicle fleets,"Green FinTech, ZEV Financing",,zeti.group,@ZetiGroup,United Kingdom,English,2018,Private,£5M+,USD,6650000,,,,,,,,,,,
Circular Economy,Mi Terro,Bioplastics from Food Waste,Transforms agricultural waste into biodegradable packaging and bioplastics.,"bioplastics, circular economy, food waste",Packaging Innovation,https://www.miterro.com,https://twitter.com/mi_terro,USA,English,2018,Seed,$3M,USD,3000000,,,,,,,,,,,
AgriTech,Khepra,Khepra - Innovation Area,Khepra is a startup focused on sustainability solutions.,"khepra, sustainability",Environmental Impact,https://www.khepra.com,https://twitter.com/khepra,Germany,English,2018,Series B,$19M,USD,86198881,,,,,,,,,,,
Clean Energy,Magnomer,Magnomer - Innovation Area,Magnomer is a startup focused on sustainability solutions.,"magnomer, sustainability",Environmental Impact,https://www.magnomer.com,https://twitter.com/magnomer,UK,English,2018,Series C,$95M,USD,6696992,,,,,,,,,,,
Electrification,Fast charging,4EV,"4EV are a UK company with 7 years experience of providing the highest quality Electric Vehicle (EV) Charging Accessories. We're committed to providing the very best service possible, from the quality and reliability of our EV products right through to fast, convenient delivery and friendly after sales service!",,,https://www.4ev.co.uk/,@4EVCables,United Kingdom,English,2019,,,USD,,,,,,,,,,,,
Decarbonization,Alternative fuels,Anax Power,"Clean power from natural gas, without combustion.",,,https://www.anaxpower.com/,@AnaxPower,United States of America,English,2019,,,USD,,,,,,,,,,,,
Digitalization,AI,Ari Analytics,"AI technology in energy management systems designed to predict, control and improve a building’s energy use",,,https://www.ari-analytics.com/,,China,English,2019,,,USD,,,,,,,,,,,,
Electrification,EV-storage,Bak Power,"power battery, energy storage battery and polymer batter for new energy vehicle, consumer products and energy storage",,,,,China,Chinese,2019,,,USD,,,,,,,,,,,,
Decabonization,Comfort,Baseload Capital,Investing in a sustainable future by developing heat power plants worldwide,heat power baseload,,https://baseloadcap.com/,@BaseloadCapital,Singapore,English,2019,,,USD,,,,,,,,,,,,
Decarbonization,CCUS,Carbonauten,"To drive the decarbonization of industry, carbonauten has developed a system that reduces emissions and costs. The central element is the development and production of innovative, CO2-negative materials, the carbonauten NET Materials® (Negative Emission Technology). They consist of a combination of technically specified biocarbons with various binders, have better properties and are cheaper than many conventional materials.",,,https://carbonauten.de/en/,,Germany,English,2019,,,USD,,,,,,,,,,,,
Electrification,EV,Ceer motors,"Saudi Arabia is not just building a new automotive brand, we are igniting a new industry and an ecosystem that attracts international and local investments, creates job opportunities for local talent, enables the private sector, and contributes to increasing Saudi Arabia’s GDP over the next decade, as part of PIF’s strategy to drive the economic growth in line with Vision 2030",,,https://ceermotors.com/,@ceer,Saudi Arabia,English,2019,,,USD,,,,,,,,,,,,
Other,Hydrogen Innovation,Celadyne Technologies,Develops nanomaterial membranes for efficient hydrogen fuel cells and electrolyzers,"Hydrogen, Fuel Cells",,celadyne.com,,United States of America,English,2019,Private,,USD,,,,,,,,,,,,
Electrification,Fast charging,Charger Help,"As the only national EVSE-dedicated operations and maintenance service provider, ChargerHelp! takes a technology first approach to providing our clients with reliable, predictable, and hassle-free EV charging.",,,chargerhelp.com,@ChargerHelp,,English,2019,,,USD,,,,,,,,,,,,
Decarbonization,Circular economy,Dioxycle,"At Dioxycle we develop electrolyser solutions for carbon dioxide emissions. Using state-of-the-art technology, we research and provide technology that captures and converts carbon dioxide and ultimately generates valuable chemical products",,,https://dioxycle.com/,@dioxycle,France,English,2019,,,USD,,,,,,,,,,,,
Clean Energy,Renewable Energy Retail,Ekupi (GreenYellow),Online platform for solar energy services and devices in Latin America,"Solar Retail, Green Tech",,greenyellow.com,,Colombia,Spanish,2019,Corporate (subsidiary),,USD,,,,,,,,,,,,
Other,Materials Recycling,Elemental Recycling,Converts mixed plastic and metal waste into high-value graphene and hydrogen,"Recycling, Graphene, Hydrogen",,elementalrecycling.com,,United States of America,English,2019,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Equiwatts,Equiwatt’s digital platform uses artificial intelligence to cut demand simultaneously across multiple homes to provide network operators and energy companies with more flexibility.,Demand response,,https://www.equiwatt.com/,,United Kingdom,English,2019,,,USD,,,,,,,,,,,,
Clean Energy,Solar Panel Integration,Erthos,"Installs flat solar panels directly on the ground, reducing mounting needs","Solar, Ground-Mount Innovation",,erthos.com,,United States of America,English,2019,Private,$17.5M,USD,17500000,,,,,,,,,,,
Other,Battery Manufacturing,European Batteries,Develops sustainable battery packs and cells in Europe for mobility & industry,"Battery Packs, EU Manufacturing",,europeanbatteries.com,,Finland,English,2019,Private,,USD,,,,,,,,,,,,
Other,Hydrogen Infrastructure,Everfuel,Builds hydrogen fueling infrastructure across Northern Europe,"Hydrogen Mobility, Infrastructure",Supplier,everfuel.com,@Everfuel,Denmark,English,2019,Public (Oslo),DKK 2.6B,USD,392600000,2020,,,,,,,,,,
Clean Energy,Solar Manufacturing,Evolar,"Specializes in perovskite solar cell tech, acquired by First Solar","Perovskite, Solar Efficiency",,evolar.se,,Sweden,English,2019,Acquired,,USD,,,,,,,,,,,,
Other,Cold Chain / Logistics,Glacier,AI-powered automation for recycling centers to improve material recovery,"Recycling, Robotics, AI",,glacier.ai,@glacier_ai,United States of America,English,2019,Private,$15M,USD,15000000,,,,,,,,,,,
Other,Hydrogen Electrolysis,H2Pro,Uses E-TAC (Electrochemical-Thermally Activated Chemical) to split water for H₂,"Hydrogen, Electrolysis Innovation",,h2pro.co,,Israel,English,2019,Private,$100M,USD,100000000,,,,,,,,,,,
Clean Energy,Floating Solar,HelioRec,Develops offshore floating solar platforms for coastal cities and ports,"Floating PV, Marine Solar",,heliorec.com,@HelioRec,France,English,2019,Private,,USD,,,,,,,,,,,,
Other,Windless Wind Energy,Hulitech (AeroMINE),"Develops stationary, bladeless wind energy modules for rooftops","AeroMINE, Urban Wind",,aeromine.com,@AeroMINE,United States of America,English,2019,Private,,USD,,,,,,,,,,,,
Digitalization,Buildings,iPower,"iPower is a social enterprise using smart digital control systems to monitor and manage energy in homes and businesses, onsite energy generation and storage systems to help create a more stable, greener energy economy.",,,,@iPowerG15,,English,2019,,,USD,,,,,,,,,,,,
Digital & AI,Anaerobic Methane,Methanothrix,Develops biotech for converting CO₂ and electrons into methane through microbes,"CO₂ Conversion, Anaerobic Digestion",,methanothrix.com,,Germany,English,2019,Private,,USD,,,,,,,,,,,,
Other,Quantum Computing,Multiverse Computing,"Applies quantum and AI computing to energy, logistics, and finance optimization","Quantum AI, Optimization",,multiversecomputing.com,@MultiverseQC,Spain,English,2019,Private,€25M+,USD,28125000,,,,,,,,,,,
Digitalization,AI,Myst AI,AI platform for demand and supply forecasting,Better forecasting,,https://www.myst.ai/,@MystAITeam,United States of America,English,2019,,,USD,,,,,,,,,,,,
Other,Nuclear Power,"NDB, Inc.",Working on diamond-based nuclear batteries using recycled radioactive waste,"Nuclear Batteries, Long-life Power",,ndb.technology,@NDBTechnology,United States of America,English,2019,Private,,USD,,,,,,,,,,,,
Digitalization,Data,Orxa Grid,"OrxaGrid has developed software which can process electricity grid data to produce insights on how to reduce energy losses and increase overall efficiency to inform energy management decision making. The company has also developed a range of devices for building a smarter grid, including sensors that monitor the performance of transformers and overhead lines to continuously measure and detect outages and disturbances.",,,https://www.orxagrid.com/,@OrxaGrid,United Kingdom,English,2019,,,USD,,,,,,,,,,,,
Other,Ocean Carbon Removal,Planetary Technologies,Uses ocean alkalinity enhancement to sequester CO₂ and restore ocean chemistry,"Carbon Removal, Ocean Tech",,planetarytech.com,@PlanetaryTech,Canada,English,2019,Private,$10M+,USD,10000000,,,,,,,,,,,
Other,Electrofuels,Prometheus Fuels,Captures CO₂ from air and converts it into carbon-neutral gasoline using electricity,"Synthetic Fuels, Direct Air Capture",,prometheusfuels.com,,United States of America,English,2019,Private,$75M+,USD,75000000,,,,,,,,,,,
Digitalization,AI,Quant Co,Quant Co. provides Artificial Intelligence as a Service for Home Energy Management and smart grid.,Home energy,,https://quantco.com/,,United Kingdom,English,2019,,,USD,,,,,,,,,,,,
Other,AI for Recycling,Recycleye,Builds AI computer vision and robotics systems to automate waste sorting,"AI, Waste Robotics",,recycleye.com,@recycleye,United Kingdom,English,2019,Private,£4.7M+,USD,6251000,,,,,,,,,,,
Other,Marine Energy,Salidros Energy,Develops ocean wave energy converters for decentralized power generation,"Wave Energy, Marine Tech",,salidros.com,,Greece,English,2019,Private,,USD,,,,,,,,,,,,
Decarbonization,Alternative generation,Sapphire Technologies,"Driving global decarbonization, we develop and manufacture energy recovery systems that harness the power of gas expansion to produce clean electricity.",,,https://www.sapphiretechnologies.com/,@SapphireTechno3,United States of America,English,2019,,,USD,,,,,,,,,,,,
Other,Home Energy Storage,Storz Power,Sells battery-based home energy storage and backup power systems,"Energy Storage, Resilience",,storzpower.com,,United States of America,English,2019,Private,,USD,,,,,,,,,,,,
Electrification,Fast charging,Unified chargers,As the number of EVs increases the fast charging facility capacity needs will be dramatically increased. Supported by its patented innovation UC provides the most efficient fast charging solution for real life situations. The solution is optimized for multiple vehicle simultaneous charging as will be the market requirement in the near futur,,,https://www.unifiedchargers.fi/,@UnifiedChargers,Finland,English,2019,,,USD,,,,,,,,,,,,
Electrification,Fast charging,Veloce Energy,"EV charging stations are rarely profitable due to high utility connection costs (with long timelines), high utility Demand Charges, and expensive antiquated construction methods.MAKES EV CHARGING STATIONS PROFITABLE BY SOLVING EACH OF THESE BARRIERS. VELOCE ENERGY'S ARGOS™ SOFTWARE INTEGRATES THE OPERATION OF THE EV CHARGER, BATTERY AND OTHER SYSTEMS. CONFIGURABLE BASED ON UTILITY TARIFFS AND OPERATING CRITERIA, ARGOS™ IS THE EYES OF THE SYSTEM",,,https://www.veloceenergy.com/,@VeloceEnergy,,English,2019,,,USD,,,,,,,,,,,,
Electrification,EV,Veltium,"development, manufacture and marketing of easy-to-install electric vehicle charging infrastructures available to everyone. They have developed a system to optimally manage the charging of electric vehicles, reducing the costs of electricity consumption and allowing to get the most out of the vehicle at all times.",,,,,Spain,Spanish,2019,,,USD,,,,,,,,,,,,
Other,CO₂ Mineralization,Vesta,Uses olivine to capture atmospheric CO₂ via ocean alkalinity enhancement,"Ocean Carbon Removal, Mineralization",,vesta.earth,@ProjectVesta,United States of America,English,2019,Nonprofit,$10M+,USD,10000000,,,,,,,,,,,
Digitalization,AI,Volts UAE LLC,"VOLTS is young startup who disrupts the way of energy supplying. We develop AI managed residential electricity storage systems, that charges EVs with green energy. Supported by Catalyst UAE.","Artificial Intelligence, EVs",,https://volts.ae/,,United Arab Emirates,Arabic,2019,,,USD,,,,,,,,,,,,
Digitalization,Data,Wattabit,"By digitizing data from a multitude of devices, the W-Manager platform makes all energy consumption and costs visible. It has functions such as data analysis, automatic alarms and report creation, which facilitate decision-making and are essential to verify the savings generated in real time.",,,,,Spain,Spanish,2019,,,USD,,,,,,,,,,,,
Clean Energy,Transparent Solar,ZettaSense,Develops nano-coatings and transparent solar sensors for buildings and electronics,"Smart Materials, Solar Tech",,zettasense.com,,United States of America,English,2019,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Zhiyang Innovation,use AI and big data technology for moniotoring and managing power transmission and power transformer,smart grid management,,http://www.zhiyang.com.cn/,,China,Chinese,2019,,,USD,,,,,,,,,,,,
Sustainable Mobility,BharatAgri,BharatAgri - Innovation Area,BharatAgri is a startup focused on sustainability solutions.,"bharatagri, sustainability",Environmental Impact,https://www.bharatagri.com,https://twitter.com/bharatagri,USA,English,2019,Series A,$145M,USD,123511405,,,,,,,,,,,
Sustainable Mobility,Cloover,Cloover - Innovation Area,Cloover is a startup focused on sustainability solutions.,"cloover, sustainability",Environmental Impact,https://www.cloover.com,https://twitter.com/cloover,Netherlands,English,2019,Series B,$6M,USD,7175668,,,,,,,,,,,
Water Management,GridBeyond,GridBeyond - Innovation Area,GridBeyond is a startup focused on sustainability solutions.,"gridbeyond, sustainability",Environmental Impact,https://www.gridbeyond.com,https://twitter.com/gridbeyond,UK,English,2019,Series B,$109M,USD,127894328,,,,,,,,,,,
Other,Energy Optimization,Bamboo Energy,AI-based platform for energy flexibility and demand-side management,"AI, Smart grid",,bambooenergy.tech,,Spain,Spanish,2020,Private,,USD,,,,,,,,,,,,
Other,Materials Tracing,Bettertrace,Provides blockchain-based traceability for critical materials in clean energy supply chains.,"Supply Chain, Blockchain",Partner,bettertrace.com,,France,"French, English",2020,Private,€3 million,USD,3375000,,,,,,,,,,,
Digital & AI,Smart Charging,Bia Power,SaaS-based EV charging optimization using machine learning,"EV Charging, Load Management",,biapower.io,,Spain,English,2020,Private,,USD,,,,,,,,,,,,
Other,Circular Construction,Cement Loop,Offers cement recycling tech and solutions to recover cement from demolition waste,"Circular Economy, Construction",,cementloop.com,,Netherlands,English,2020,Private,,USD,,,,,,,,,,,,
Electrification,Fast charging,Co-Charger Electric Vehicle Charging,"Co Charger enables people to rent out their home charger to people who can't install their own, accelerating the switch to electric.",,,co-charger.com,@co_charger,United Kingdom,English,2020,,,USD,,,,,,,,,,,,
Other,Energy Trading AI,Enspired,AI-based energy trading platform to optimize power market participation,"Energy Trading, AI",,enspired-trading.com,,Austria,English,2020,Private,,USD,,,,,,,,,,,,
Clean Energy,Clean Energy Solutions,EnTech Solutions,Offers turn-key solar and battery installations for commercial clients,"Solar, Storage, Microgrid",,energybyentech.com,,United States of America,English,2020,Private,,USD,,,,,,,,,,,,
Digital & AI,Recycling / Carbon Capture,ERA (Environmental Recovery Atlas),AI + data to optimize carbon capture and recycling logistics,"Recycling AI, Carbon Logistics",,,,United States of America,English,2020,Private,,USD,,,,,,,,,,,,
Other,Sustainable Textiles,Fairbrics,Converts CO₂ into polyester fabrics for fashion industry,"CO₂-to-Textiles, Carbon Utilization",,fairbrics.co,,France,English,2020,Private,€20M,USD,22500000,,,,,,,,,,,
Other,Filtration Technology,Gaia Membranes,Manufactures sustainable filtration membranes for water and energy industries,"Membranes, Water Treatment",,gaiamembranes.com,,Switzerland,English,2020,Private,,USD,,,,,,,,,,,,
Other,Direct Air Capture,Heirloom,Captures atmospheric CO₂ using enhanced mineralization and limestone regeneration,"Carbon Capture, DAC",,heirloomcarbon.com,@heirloomcarbon,United States of America,English,2020,Private,$53M,USD,53000000,,,,,,,,,,,
Other,Hydrogen Logistics,Hydrologiq,Develops modular hydrogen infrastructure for off-grid and industrial use,"Hydrogen Logistics, Modular Power",,hydrologiq.com,,United Kingdom,English,2020,Private,,USD,,,,,,,,,,,,
Decarbonization,CCUS,Inherit Carbon Solutions,"Inherit Carbon Solutions is creating a durable and nature-friendly solution for carbon removal. Hundreds of biogas plants represent a carbon removal solution right in front of us, already built and in operation. Let’s get started!",,,https://inheritcs.com/,,United States of America,English,2020,,,USD,,,,,,,,,,,,
Other,Ocean Farming,Kelp Blue,Cultivates giant kelp in open ocean farms for carbon capture and bioproducts,"Blue Carbon, Ocean Farming",,kelp.blue,@KelpBlueHQ,Netherlands,English,2020,Private,€10M,USD,11250000,,,,,,,,,,,
Other,Modular Nuclear,Last Energy,Builds small modular nuclear reactors for distributed and industrial power,"SMR, Clean Baseload",,lastenergy.com,,United States of America,English,2020,Private,$24M,USD,24000000,,,,,,,,,,,
Other,Geothermal Extraction,Lithium de France,Uses geothermal energy for lithium extraction in Alsace region,"Geothermal Lithium, Batteries",,lithiumdefrance.com,,France,French,2020,Private,€45M,USD,50625000,,,,,,,,,,,
Other,Fast EV Charging,Meyyer,French startup building ultra-fast EV chargers with dynamic load balancing,"EV Charging, Smart Grid",,meyyer.fr,,France,French,2020,Private,,USD,,,,,,,,,,,,
Electrification,EV,Moment Energy,"Moment Energy provides affordable, performant, and reliable energy storage by repurposing retired electric vehicle (EV) batteries. Moment Energy provides cost-effective, robust grid storage solutions by working with utilities and major automotive companies to take advantage of the 80 percent remaining capacity in retired EV batteries.",,@moment_energy,https://www.momentenergy.com/,,Canada,English,2020,Seed,"$13,000,000",USD,13000000,,,,,,,,,,,
Other,Biotech / CO₂ Removal,Neoplants,Engineers houseplants to capture indoor pollutants and improve air quality,"Indoor CO₂ Capture, Bioengineering",,neoplants.co,@neoplantsco,France,English,2020,Private,$20M,USD,20000000,,,,,,,,,,,
Other,Renewable Energy,Nuvian (RENergy),Develops distributed energy solutions for industry and logistics in Mexico,"Distributed Energy, Solar + Storage",,nuvian.mx,,Mexico,Spanish,2020,Private,,USD,,,,,,,,,,,,
Clean Energy,Community Solar,Pineapple Energy,Provides solar and battery solutions for residential and community-scale projects,"Community Solar, Storage",Utility partner,pineappleenergy.com,,United States of America,English,2020,Public (NASDAQ: PEGY),,USD,,2022,,,,,,,,,,
Other,Air Quality,Reveal Air,Offers real-time indoor air quality monitoring and ventilation insights,"Indoor AQ, Smart Building",,revealair.com,,United States of America,English,2020,Private,,USD,,,,,,,,,,,,
Other,Advanced Batteries,Safire (AHI Batteries),Developing aqueous hybrid ion (AHI) batteries for stationary energy storage,"Long-duration Storage, Aqueous Tech",,,,United States of America,English,2020,Private,,USD,,,,,,,,,,,,
Other,Circular Bioplastics,Samsara Eco,Uses enzymes to break down plastics into raw monomers for recycling,"Enzymatic Recycling, Circular Plastics",,samsaraeco.com,@samsaraeco,Australia,English,2020,Private,AUD $60M+,USD,38640000,,,,,,,,,,,
Clean Energy,Solar Analytics,SmartHelio,Provides AI-powered analytics to detect faults and optimize solar panel efficiency,"Solar Diagnostics, AI",,smarthelio.com,@smarthelio,Switzerland,English,2020,Private,$2M+,USD,2000000,,,,,,,,,,,
Clean Energy,Solar EV Chargers,SolFast,"Develops compact, plug-and-play solar carports and EV charging solutions","Solar EV Charging, Mobility Tech",,solfast.io,,United States of America,English,2020,Private,,USD,,,,,,,,,,,,
Decarbonization,Aviation,Spark e-fuels,Sustainable e-fuels for aviation,,,https://www.sparkefuels.com/,,Germany,English,2020,,,USD,,,,,,,,,,,,
Other,Tyre Recycling,Tyre Collective,Captures microplastic particles from tire wear to reduce non-exhaust emissions,"Tire Pollution, Microplastics",,thetyrecollective.com,@TyreCollective,United Kingdom,English,2020,Private,£1.5M+,USD,1995000,,,,,,,,,,,
Clean Energy,Off-grid Cold Storage,Yuma Energy,"Offers modular, solar-powered cold storage solutions for agriculture and healthcare","Cold Chain, Solar Access",,yuma.energy,,India,English,2020,Private,,USD,,,,,,,,,,,,
Water Management,Rondo Energy,Rondo Energy - Innovation Area,Rondo Energy is a startup focused on sustainability solutions.,"rondo energy, sustainability",Environmental Impact,https://www.rondoenergy.com,https://twitter.com/rondoenergy,UK,English,2020,Series B,$70M,USD,119186639,,,,,,,,,,,
Water Management,DeepL,DeepL - Innovation Area,DeepL is a startup focused on sustainability solutions.,"deepl, sustainability",Environmental Impact,https://www.deepl.com,https://twitter.com/deepl,India,English,2020,Series C,$104M,USD,149929834,,,,,,,,,,,
Other,Hydrogen Production,Aurora Hydrogen,"Develops technology for efficient, low-emission hydrogen production using existing energy infrastructure. Aurora Hydrogren","Hydrogen Production, Clean Energy",,aurorahydrogen.com,,Canada,English,2021,Private,,USD,,,,,,,,,,,,
Other,Carbon Capture,CarbonCycle,Develops enhanced weathering solutions to capture CO2 using mineral carbonation,"Enhanced Weathering, Minerals",Partner,dioxycle.com,@DioxycleCorp,France,French/English,2021,Private,€15 million,USD,16875000,,,,,,,,,,,
Other,Carbon-to-Chemicals,CarbonCycle (Dioxycle),Converts industrial CO₂ emissions into chemicals using electrochemical processes,"CO₂ Conversion, Electrochemistry",,dioxycle.com,,France,English,2021,Private,€17M,USD,19125000,,,,,,,,,,,
Other,EV Charging Robots,Charging Robotics,Develops autonomous EV charging robots for smart cities and logistics,"EV Charging, Robotics",,chargingrobotics.com,,Israel,English,2021,Private,,USD,,,,,,,,,,,,
